Brand,Year,Model,UsedOrNew,Transmission,Kilometres,Price,State,Litres
Nissan,2004,X-Trail,USED,Automatic,187550,10995,NSW,2.5
Ford,2016,Ranger,USED,Automatic,226455,26000,NSW,3.2
Land,2016,Rover,USED,Automatic,103473,39950,NSW,2.0
Suzuki,2019,Vitara,USED,Automatic,75607,27990,NSW,1.4
Mazda,2009,CX-9,USED,Automatic,219702,7999,NSW,3.7
Audi,2013,A3,USED,Automatic,40260,22800,NSW,1.4
Toyota,2018,Corolla,USED,Automatic,48825,27888,NSW,1.8
Mini,2018,Clubman,USED,Manual,163591,29990,NSW,2.0
Ford,2014,Ranger,USED,Automatic,177060,27990,NSW,3.2
Mitsubishi,2018,Triton,USED,Manual,91792,39990,NSW,2.4
Citroen,2016,C4,USED,Automatic,83656,17880,NSW,1.6
Peugeot,2014,2008,USED,Automatic,148600,14990,NSW,1.6
Holden,2019,Acadia,USED,Automatic,40898,32990,NSW,3.6
Subaru,2008,Forester,USED,Manual,220235,8995,NSW,2.5
Mazda,2014,2,USED,Automatic,151436,12449,NSW,1.5
Holden,2009,Barina,USED,Automatic,53202,9999,NSW,1.6
Subaru,2017,XV,USED,Automatic,73901,28990,NSW,2.0
Toyota,2010,Hilux,USED,Automatic,252569,15900,NSW,4.0
Jeep,2013,Grand,USED,Automatic,180000,18888,NSW,3.0
Mercedes-Benz,2011,C220,USED,Automatic,196245,12999,NSW,2.1
Honda,2018,Civic,USED,Automatic,73511,35950,NSW,1.5
Mercedes-Benz,2010,E250,USED,Automatic,209809,11999,NSW,1.8
Mercedes-Benz,2019,A200,USED,Automatic,53241,45000,NSW,1.3
Honda,2017,CR-V,USED,Automatic,89077,27990,NSW,1.5
Mercedes-Benz,2013,C250,USED,Automatic,123517,14999,NSW,1.8
Subaru,2019,Forester,USED,Automatic,145821,32990,NSW,2.5
Ford,2008,Focus,USED,Automatic,146862,8990,NSW,2.0
Hyundai,2018,I30,USED,Automatic,45512,22990,NSW,2.0
Ford,2019,Mustang,USED,Automatic,27951,59990,NSW,2.3
Suzuki,2018,Swift,USED,Automatic,66964,18990,NSW,1.2
Hyundai,2018,Elantra,USED,Automatic,51966,21990,NSW,2.0
Kia,2017,Sportage,USED,Automatic,172450,17995,NSW,2.0
MG,2023,ZS,NEW,Automatic,15,24690,NSW,1.5
Hyundai,2017,I30,USED,Automatic,65737,23990,NSW,1.6
